y	x	key	showSelected1	group
2	1	189	189	-1
2	2	189	189	-1
3	3	189	189	-1
4	4	189	189	-1
5	5	189	189	-1
6	6	189	189	-1
4.66666666666667	7	189	189	-1
4	8	189	189	-1
4.5	9	189	189	-1
4	10	189	189	-1
3.66666666666667	11	189	189	-1
3.42857142857143	12	189	189	-1
3.25	13	189	189	-1
3.11111111111111	14	189	189	-1
3.33333333333333	15	189	189	-1
3.2	16	189	189	-1
3.09090909090909	17	189	189	-1
3.27272727272727	18	189	189	-1
3.16666666666667	19	189	189	-1
3.33333333333333	20	189	189	-1
3.5	21	189	189	-1
3.66666666666667	22	189	189	-1
3.83333333333333	23	189	189	-1
3.69230769230769	24	189	189	-1
3.57142857142857	25	189	189	-1
3.71428571428571	26	189	189	-1
3.6	27	189	189	-1
3.5	28	189	189	-1
3.41176470588235	29	189	189	-1
3.33333333333333	30	189	189	-1
3.26315789473684	31	189	189	-1
3.2	32	189	189	-1
3.3	33	189	189	-1
3.23809523809524	34	189	189	-1
3.18181818181818	35	189	189	-1
3.1304347826087	36	189	189	-1
3.21739130434783	37	189	189	-1
3.16666666666667	38	189	189	-1
3.12	39	189	189	-1
3.2	40	189	189	-1
3.15384615384615	41	189	189	-1
3.23076923076923	42	189	189	-1
3.18518518518519	43	189	189	-1
3.14285714285714	44	189	189	-1
3.21428571428571	45	189	189	-1
3.17241379310345	46	189	189	-1
3.13333333333333	47	189	189	-1
3.09677419354839	48	189	189	-1
3.0625	49	189	189	-1
3.125	50	189	189	-1
3.1875	51	189	189	-1
3.15151515151515	52	189	189	-1
3.11764705882353	53	189	189	-1
3.08571428571429	54	189	189	-1
3.05555555555556	55	189	189	-1
3.11111111111111	56	189	189	-1
3.08108108108108	57	189	189	-1
3.05263157894737	58	189	189	-1
3.02564102564103	59	189	189	-1
3	60	189	189	-1
2.97560975609756	61	189	189	-1
2.95238095238095	62	189	189	-1
2.93023255813954	63	189	189	-1
2.97674418604651	64	189	189	-1
3.02325581395349	65	189	189	-1
3	66	189	189	-1
2.97777777777778	67	189	189	-1
2.95652173913043	68	189	189	-1
3	69	189	189	-1
3.04347826086957	70	189	189	-1
3.02127659574468	71	189	189	-1
3.06382978723404	72	189	189	-1
3.04166666666667	73	189	189	-1
3.02040816326531	74	189	189	-1
3.06122448979592	75	189	189	-1
3.04	76	189	189	-1
3.01960784313726	77	189	189	-1
3	78	189	189	-1
3.03846153846154	79	189	189	-1
3.07692307692308	80	189	189	-1
3.11538461538462	81	189	189	-1
3.15384615384615	82	189	189	-1
3.13207547169811	83	189	189	-1
3.11111111111111	84	189	189	-1
3.14814814814815	85	189	189	-1
3.18518518518519	86	189	189	-1
3.16363636363636	87	189	189	-1
3.14285714285714	88	189	189	-1
3.17857142857143	89	189	189	-1
3.21428571428571	90	189	189	-1
3.19298245614035	91	189	189	-1
3.2280701754386	92	189	189	-1
3.20689655172414	93	189	189	-1
3.1864406779661	94	189	189	-1
3.16666666666667	95	189	189	-1
3.14754098360656	96	189	189	-1
3.12903225806452	97	189	189	-1
3.11111111111111	98	189	189	-1
3.09375	99	189	189	-1
3.07692307692308	100	189	189	-1
3.06060606060606	101	189	189	-1
3.04477611940299	102	189	189	-1
3.07462686567164	103	189	189	-1
3.1044776119403	104	189	189	-1
3.13432835820896	105	189	189	-1
3.16417910447761	106	189	189	-1
3.14705882352941	107	189	189	-1
3.1304347826087	108	189	189	-1
3.11428571428571	109	189	189	-1
3.09859154929577	110	189	189	-1
3.08333333333333	111	189	189	-1
3.06849315068493	112	189	189	-1
3.0958904109589	113	189	189	-1
3.08108108108108	114	189	189	-1
3.10810810810811	115	189	189	-1
3.13513513513514	116	189	189	-1
3.12	117	189	189	-1
3.10526315789474	118	189	189	-1
3.13157894736842	119	189	189	-1
3.11688311688312	120	189	189	-1
3.14285714285714	121	189	189	-1
3.12820512820513	122	189	189	-1
3.11392405063291	123	189	189	-1
3.13924050632911	124	189	189	-1
3.125	125	189	189	-1
3.11111111111111	126	189	189	-1
3.09756097560976	127	189	189	-1
3.08433734939759	128	189	189	-1
3.10843373493976	129	189	189	-1
3.0952380952381	130	189	189	-1
3.08235294117647	131	189	189	-1
3.06976744186047	132	189	189	-1
3.09302325581395	133	189	189	-1
3.08045977011494	134	189	189	-1
3.06818181818182	135	189	189	-1
3.0561797752809	136	189	189	-1
3.04444444444444	137	189	189	-1
3.03296703296703	138	189	189	-1
3.05494505494505	139	189	189	-1
3.07692307692308	140	189	189	-1
3.06521739130435	141	189	189	-1
3.08695652173913	142	189	189	-1
3.10869565217391	143	189	189	-1
3.09677419354839	144	189	189	-1
3.08510638297872	145	189	189	-1
3.1063829787234	146	189	189	-1
3.09473684210526	147	189	189	-1
3.11578947368421	148	189	189	-1
3.10416666666667	149	189	189	-1
3.09278350515464	150	189	189	-1
3.08163265306122	151	189	189	-1
3.07070707070707	152	189	189	-1
3.06	153	189	189	-1
3.04950495049505	154	189	189	-1
3.06930693069307	155	189	189	-1
3.05882352941176	156	189	189	-1
3.07843137254902	157	189	189	-1
3.06796116504854	158	189	189	-1
3.05769230769231	159	189	189	-1
3.04761904761905	160	189	189	-1
3.0377358490566	161	189	189	-1
3.02803738317757	162	189	189	-1
3.01851851851852	163	189	189	-1
3.00917431192661	164	189	189	-1
3	165	189	189	-1
3.01818181818182	166	189	189	-1
3.00900900900901	167	189	189	-1
3	168	189	189	-1
2.99115044247788	169	189	189	-1
2.98245614035088	170	189	189	-1
2.97391304347826	171	189	189	-1
2.99130434782609	172	189	189	-1
3.00869565217391	173	189	189	-1
3	174	189	189	-1
2.99145299145299	175	189	189	-1
2.98305084745763	176	189	189	-1
3	177	189	189	-1
2.99159663865546	178	189	189	-1
2.98333333333333	179	189	189	-1
2.97520661157025	180	189	189	-1
2.99173553719008	181	189	189	-1
2.98360655737705	182	189	189	-1
2.97560975609756	183	189	189	-1
2.99186991869919	184	189	189	-1
2.98387096774194	185	189	189	-1
3	186	189	189	-1
3.01612903225806	187	189	189	-1
3.03225806451613	188	189	189	-1
3.024	189	189	189	-1
2	1	190	190	-1
2	2	190	190	-1
3	3	190	190	-1
4	4	190	190	-1
5	5	190	190	-1
6	6	190	190	-1
4.66666666666667	7	190	190	-1
4	8	190	190	-1
4.5	9	190	190	-1
4	10	190	190	-1
3.66666666666667	11	190	190	-1
3.42857142857143	12	190	190	-1
3.25	13	190	190	-1
3.11111111111111	14	190	190	-1
3.33333333333333	15	190	190	-1
3.2	16	190	190	-1
3.09090909090909	17	190	190	-1
3.27272727272727	18	190	190	-1
3.16666666666667	19	190	190	-1
3.33333333333333	20	190	190	-1
3.5	21	190	190	-1
3.66666666666667	22	190	190	-1
3.83333333333333	23	190	190	-1
3.69230769230769	24	190	190	-1
3.57142857142857	25	190	190	-1
3.71428571428571	26	190	190	-1
3.6	27	190	190	-1
3.5	28	190	190	-1
3.41176470588235	29	190	190	-1
3.33333333333333	30	190	190	-1
3.26315789473684	31	190	190	-1
3.2	32	190	190	-1
3.3	33	190	190	-1
3.23809523809524	34	190	190	-1
3.18181818181818	35	190	190	-1
3.1304347826087	36	190	190	-1
3.21739130434783	37	190	190	-1
3.16666666666667	38	190	190	-1
3.12	39	190	190	-1
3.2	40	190	190	-1
3.15384615384615	41	190	190	-1
3.23076923076923	42	190	190	-1
3.18518518518519	43	190	190	-1
3.14285714285714	44	190	190	-1
3.21428571428571	45	190	190	-1
3.17241379310345	46	190	190	-1
3.13333333333333	47	190	190	-1
3.09677419354839	48	190	190	-1
3.0625	49	190	190	-1
3.125	50	190	190	-1
3.1875	51	190	190	-1
3.15151515151515	52	190	190	-1
3.11764705882353	53	190	190	-1
3.08571428571429	54	190	190	-1
3.05555555555556	55	190	190	-1
3.11111111111111	56	190	190	-1
3.08108108108108	57	190	190	-1
3.05263157894737	58	190	190	-1
3.02564102564103	59	190	190	-1
3	60	190	190	-1
2.97560975609756	61	190	190	-1
2.95238095238095	62	190	190	-1
2.93023255813954	63	190	190	-1
2.97674418604651	64	190	190	-1
3.02325581395349	65	190	190	-1
3	66	190	190	-1
2.97777777777778	67	190	190	-1
2.95652173913043	68	190	190	-1
3	69	190	190	-1
3.04347826086957	70	190	190	-1
3.02127659574468	71	190	190	-1
3.06382978723404	72	190	190	-1
3.04166666666667	73	190	190	-1
3.02040816326531	74	190	190	-1
3.06122448979592	75	190	190	-1
3.04	76	190	190	-1
3.01960784313726	77	190	190	-1
3	78	190	190	-1
3.03846153846154	79	190	190	-1
3.07692307692308	80	190	190	-1
3.11538461538462	81	190	190	-1
3.15384615384615	82	190	190	-1
3.13207547169811	83	190	190	-1
3.11111111111111	84	190	190	-1
3.14814814814815	85	190	190	-1
3.18518518518519	86	190	190	-1
3.16363636363636	87	190	190	-1
3.14285714285714	88	190	190	-1
3.17857142857143	89	190	190	-1
3.21428571428571	90	190	190	-1
3.19298245614035	91	190	190	-1
3.2280701754386	92	190	190	-1
3.20689655172414	93	190	190	-1
3.1864406779661	94	190	190	-1
3.16666666666667	95	190	190	-1
3.14754098360656	96	190	190	-1
3.12903225806452	97	190	190	-1
3.11111111111111	98	190	190	-1
3.09375	99	190	190	-1
3.07692307692308	100	190	190	-1
3.06060606060606	101	190	190	-1
3.04477611940299	102	190	190	-1
3.07462686567164	103	190	190	-1
3.1044776119403	104	190	190	-1
3.13432835820896	105	190	190	-1
3.16417910447761	106	190	190	-1
3.14705882352941	107	190	190	-1
3.1304347826087	108	190	190	-1
3.11428571428571	109	190	190	-1
3.09859154929577	110	190	190	-1
3.08333333333333	111	190	190	-1
3.06849315068493	112	190	190	-1
3.0958904109589	113	190	190	-1
3.08108108108108	114	190	190	-1
3.10810810810811	115	190	190	-1
3.13513513513514	116	190	190	-1
3.12	117	190	190	-1
3.10526315789474	118	190	190	-1
3.13157894736842	119	190	190	-1
3.11688311688312	120	190	190	-1
3.14285714285714	121	190	190	-1
3.12820512820513	122	190	190	-1
3.11392405063291	123	190	190	-1
3.13924050632911	124	190	190	-1
3.125	125	190	190	-1
3.11111111111111	126	190	190	-1
3.09756097560976	127	190	190	-1
3.08433734939759	128	190	190	-1
3.10843373493976	129	190	190	-1
3.0952380952381	130	190	190	-1
3.08235294117647	131	190	190	-1
3.06976744186047	132	190	190	-1
3.09302325581395	133	190	190	-1
3.08045977011494	134	190	190	-1
3.06818181818182	135	190	190	-1
3.0561797752809	136	190	190	-1
3.04444444444444	137	190	190	-1
3.03296703296703	138	190	190	-1
3.05494505494505	139	190	190	-1
3.07692307692308	140	190	190	-1
3.06521739130435	141	190	190	-1
3.08695652173913	142	190	190	-1
3.10869565217391	143	190	190	-1
3.09677419354839	144	190	190	-1
3.08510638297872	145	190	190	-1
3.1063829787234	146	190	190	-1
3.09473684210526	147	190	190	-1
3.11578947368421	148	190	190	-1
3.10416666666667	149	190	190	-1
3.09278350515464	150	190	190	-1
3.08163265306122	151	190	190	-1
3.07070707070707	152	190	190	-1
3.06	153	190	190	-1
3.04950495049505	154	190	190	-1
3.06930693069307	155	190	190	-1
3.05882352941176	156	190	190	-1
3.07843137254902	157	190	190	-1
3.06796116504854	158	190	190	-1
3.05769230769231	159	190	190	-1
3.04761904761905	160	190	190	-1
3.0377358490566	161	190	190	-1
3.02803738317757	162	190	190	-1
3.01851851851852	163	190	190	-1
3.00917431192661	164	190	190	-1
3	165	190	190	-1
3.01818181818182	166	190	190	-1
3.00900900900901	167	190	190	-1
3	168	190	190	-1
2.99115044247788	169	190	190	-1
2.98245614035088	170	190	190	-1
2.97391304347826	171	190	190	-1
2.99130434782609	172	190	190	-1
3.00869565217391	173	190	190	-1
3	174	190	190	-1
